cod_pais,pais,dato_pais_grado_3,dato_pais_grado_6,dato_region_grado_3,dato_region_grado_6,letra_magn,letra_ord,materia,nombre_categoria,descripcion_categoria,ej_3grado,ej_6grado,region
bo,Bolivia,45.00,42.11,18.00,22.00,1.00,C,Escritura,Escritura Diversidad Textual,"Escritura de diversos tipos textuales, los que tienen diferentes propósitos comunicativos y formas de organizar la información según género (cuento, anécdota, comic, artículo, etc.)","Acontecimientos socioculturales de la provincia: Prácticas orales y escritas (exposiciones, entrevistas, discursos y diálogos) (3° grado).","Texto expositivo sobre el calentamiento global: Escritura de un artículo con el uso de género, numero, modo y tiempo en la oración (6° grado).",Sudamérica
bo,Bolivia,10.00,10.53,13.00,10.00,1.00,D,Escritura,Morfosintaxis,"Es lo que se entiende por gramática. Comprende la morfología, el estudio de clases de palabras (sustantivo, verbo, etc.) y su flexión. También considera la sintaxis: funciones que adquieren las palabras en una oración (sujeto, verbo, complementos).","Textos narrativos imaginarios y reales del municipio y provincia, identificando sustantivos y adjetivos (3° grado).","Texto expositivo sobre el calentamiento global: Escritura de un artículo con el uso de género, numero, modo y tiempo en la oración (6° grado).",Sudamérica
bo,Bolivia,30.00,26.32,28.00,24.00,1.00,E,Escritura,Procesos involucrados en la escritura,"Procesos cognitivos involucrados en la producción escrita, como la planificación, textualización, revisión y reescritura de un texto, memoria de trabajo. Estos procesos suelen ser recursivos.","Libreto sobre temática ambiental para títeres elaborado de manera colectiva (…). Presentación de títeres y exposición de libretos sobre temas ambientales, transcritos e ilustrados en el programa Word –Paint (3° grado).","Características y técnicas de producción (…) de textos informativos (oficios, actas, votos resolutivos y convocatorias) y poéticos relacionados con la Madre Tierra.",Sudamérica
bo,Bolivia,8.33,9.52,31.00,19.00,1.00,A,Lectura,Comprensión lectora literal e inferencial,"Identificación de información explícita en el texto (comprensión literal) e inferencias realizadas para identificar información sugerida, no explícita, en el texto (comprensión inferencial).",Conjuntos musicales e interpretación de canciones relacionadas a las actividades socioculturales del municipio y provincia (3° grado).,Mitos y leyendas del Abya Yala: Lectura e interpretación con la identificación de oraciones simples (6° grado).,Sudamérica
bo,Bolivia,0.00,0.00,8.00,4.00,1.00,B,Lectura,Decodificación,"Proceso de asociación entre fonemas (sonidos) y grafemas (letras) que permite la lectura de palabras. Abarca conciencia fonológica, precisión, fluidez y prosodia.",No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.,Sudamérica
bo,Bolivia,75.00,85.71,33.00,40.00,1.00,C,Lectura,Lectura Diversidad Textual,"Lectura de diversos tipos y géneros textuales. Estos tipos textuales y géneros tienen diferentes propósitos comunicativos y formas de organizar la información (cuento, anécdota, comic, artículo, opinión, etc.).","Textos comunicativos usados en las relaciones sociales y culturales: La carta, periódicos murales e instructivos (3° grado).","Características y técnicas de producción, lectura y exposición de textos informativos (oficios, actas, votos resolutivos y convocatorias) y poéticos relacionados con la Madre Tierra (6° grado).",Sudamérica
bo,Bolivia,0.00,0.00,18.00,15.00,1.00,D,Lectura,Estrategias de lectura,"Estrategias que usa el lector para comprender un texto (de relectura, de monitoreo de la comprensión, de anticipación, o hipótesis acerca del contenido de un texto, etc.).",No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.,Sudamérica
bo,Bolivia,16.67,4.76,11.00,22.00,1.00,E,Lectura,Reflexión y evaluación,"Reflexión, valoración y crítica del texto por parte del lector. Esto permite identificar el propósito comunicativo y puntos de vista del texto, evaluar la funcionalidad de sus elementos formular juicios sobre él a nivel de contenido y forma.",Función social de los medios de comunicación: Veracidad e imparcialidad (3° grado).,Sucesos históricos y actuales: Intenciones comunicativas y características lingüísticas (6° grado).,Sudamérica
bo,Bolivia,3.10,3.20,11.00,12.00,1.00,A,Matemática,Estadística y probabilidad,"Lectura e interpretación de datos estadísticos a partir de su representación en tablas, gráficos, pictogramas y diagramas. Habilidad de organizar datos recolectados en tablas, gráficos, pictogramas y diagramas.",Datos estadísticos representación pictográfica de números naturales hasta el 1. (3° grado),"Tablas estadísticas: Lineales, circulares y de barra. (6° grado)",Sudamérica
bo,Bolivia,25.00,48.40,20.00,25.00,1.00,B,Matemática,Geometría,"Conocimiento de las figuras y cuerpos geométricos, su caracterización, clasificación y construcción. Capacidad de establecer relaciones entre ellos y el entorno.","Construir y copiar modelos hechos con formas bi y tridimensionales, con diferentes formas y materiales (Ej.: tipos de papel e instrumentos). (3° grado)","Descripción y explicación de los cuerpos geométricos, medidas, ángulos, uso de números naturales y las potencias, raíces y propiedades en las aplicaciones tecnológicas. (6° grado)",Sudamérica
bo,Bolivia,18.80,9.70,19.00,16.00,1.00,C,Matemática,Magnitudes y medidas,"Conocimiento de distintas magnitudes, y de sus distintas unidades de medidas. Capacidad de realizar conversiones y de utilizarlas de acuerdo al contexto.Conocimiento y uso adecuado de distintos instrumentos de medición.","Relación de equivalencias en fracciones de medidas de peso, longitud y capacidad. (3° grado)",Unidad de medidas de volumen. (6° grado),Sudamérica
bo,Bolivia,53.10,38.70,45.00,42.00,1.00,D,Matemática,Número y operaciones,"Conocimiento de los conjuntos de los números naturales y de los números racionales positivos. Cálculo de las operaciones de adición, sustracción, multiplicación y división en esos conjuntos; aplicación de sus propiedades y relaciones.",Aplicar la multiplicación en la resolución de problemas en actividades comerciales. (3° grado).,Potencias y sus propiedades en diversas aplicaciones tecnológicas. (6° grado).,Sudamérica
bo,Bolivia,0.00,0.00,5.00,4.00,1.00,E,Matemática,Patrones y álgebra,"Capacidad de identificar, completar y construir regularidades numéricas y gráficas a partir de objetos del entorno, figuras geométricas y secuencias numéricas. Conocimiento para plantear y resolver ecuaciones simples de una variable.",No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.,Sudamérica
br,Brasil,,20.00,,16.00,1.00,A,Ciencias,"Ciencia, tecnología y sociedad","Refiere a la ciencia y la tecnología como construcciones humanas influenciadas por el contexto sociocultural, político y económico. Incluye temas relativos al impacto de la ciencia y la tecnología en la salud y en el medio ambiente.",,"Investigação dos modos de conservação de alimentos cozimento, adição de substâncias, refrigeração e desidratação quanto ao modo de atuação específico, à importância social histórica e local, descrevendo processos industriais e artesanais para este fim.",Sudamérica
br,Brasil,,20.00,,17.00,1.00,B,Ciencias,Cuerpo humano y salud,"Conocimiento parcial del cuerpo humano, y comprensión de aspectos vinculados a su desarrollo, crecimiento y equilibrio; estructuras y funciones de los sistemas de órganos; conocimiento sobre la importancia de la salud para el bienestar general.",,"Compreensão de processos envolvidos na nutrição do organismo estabelecendo relações entre os fenômenos da digestão dos alimentos, a absorção de nutrientes e sua distribuição pela circulação sangüínea para todos os tecidos do organismo.",Sudamérica
br,Brasil,,16.00,,14.00,1.00,C,Ciencias,Ecología y medioambiente,"Nociones y conceptos relativos a la biodiversidad, ecosistema y equilibrio ecológico en relación con los recursos naturales y su importancia para la vida en el planeta, además de la noción de cadena trófica, su dinámica general y relevancia.",,Investigação da diversidade dos seres vivos compreendendo cadeias alimentares e características adaptativas dos seres vivos.,Sudamérica
br,Brasil,,0.00,,12.00,1.00,D,Ciencias,La energía y sus manifestaciones,Conocimientos de la noción de energía. Incluye el calor como una transferencia de energía; manifestaciones de energía en el planeta; y la noción de fuerza.,,No hay ejemplos en el currículo de este país.,Sudamérica
br,Brasil,,4.00,,11.00,1.00,E,Ciencias,La materia y sus transformaciones,"Conocimientos de la estructura atómica y molecular y algunos estados de agregación.Clasificación de los materiales en sustancias puras o mezclas, y descripción de algunos métodos de separación.",,,Sudamérica
br,Brasil,,28.00,,18.00,1.00,F,Ciencias,La tierra y el universo,"Conocimiento de las capas de la Tierra, su composición y dinámica; movimientos “externos” del planeta; fenómenos naturales Incluye la noción de Sistema Solar; el conocimiento de los planetas y de la Luna.",,"Sistema solar – corpos celestes, tamanho relativo e distância da Terra (Lua, Sol, Planetas). Elementos astronômicos visíveis.",Sudamérica
br,Brasil,,12.00,,12.00,1.00,G,Ciencias,Seres vivos,"Conocimiento sobre el ciclo de vida en los seres vivos, así como la noción de célula, particularmente, de su estructura y función en los seres vivos.",,Seres vivos e as condições para a vida.,Sudamérica
br,Brasil,25.00,16.67,14.00,13.00,1.00,A,Escritura,Coherencia y cohesión,"Características que permiten construir el sentido global del texto, tales como la presencia de una idea central sin ideas inconexas (coherencia) y uso de recursos lingüísticos para mantener las oraciones unidas (cohesión).","Aspectos discursivos: (…) - utilização de recursos coesivos oferecidos pelo sistema de pontuação e pela introdução de conectivos mais adequados à linguagem escrita, expressões que marcam temporalidade e causalidade, substituições lexicais, manutenção do tempo verbal, etc. (…) (4° grado).","Utilização de mecanismos discursivos e lingüísticos de coerência e coesão textuais, conforme o gênero e os propósitos do texto, desenvolvendo diferentes critérios: de manutenção da continuidade do tema e ordenação de suas partes; de seleção apropriada do léxico em função do eixo temático; de manutenção do paralelismo sintático e/ou semântico; de suficiência (economia) e relevância dos tópicos e informações em relação ao tema e ao ponto de vista assumido; de avaliação da orientação e força dos argumentos; de propriedade dos recursos lingüísticos (repetição, retomadas, anáforas, conectivos) na expressão da relação entre constituintes do texto (7° grado).",Sudamérica
br,Brasil,8.33,33.33,27.00,30.00,1.00,B,Escritura,Conocimiento sobre el código,"Conocimiento del sistema alfabético, de grafemas (letras) y fonemas (sonidos). También considera aspectos caligráficos y ortográficos, y relaciones de significado, (sinónimos y antónimos).","Aspectos notacionais: - divisão do texto em frases por meio de recursos do sistema de pontuação: maiúscula inicial e ponto final (exclamação, interrogação e reticências); e reunião das frases em parágrafos; - separação, no texto, entre discurso direto e indireto e entre os turnos do diálogo, utilizando travessão e dois pontos, ou aspas; - indicação, por meio de vírgulas, das listas e enumerações no texto; - estabelecimento das regularidades ortográficas (inferência das regras, inclusive as da acentuação) e constatação de irregularidades (ausencia de regras); - acentuação das palavras: regras gerais relacionadas à tonicidade (4° grado).","Utilização de marcas de segmentação em função do projeto textual: título e subtítulo; paragrafação; periodização; pontuação (ponto, vírgula, ponto-e-vírgula, dois-pontos, ponto-de-exclamação, ponto-de-interrogação, reticências); outros sinais gráficos (aspas, travessão, parênteses) (7° grado);",Sudamérica
br,Brasil,8.33,16.67,18.00,22.00,1.00,C,Escritura,Escritura Diversidad Textual,"Escritura de diversos tipos textuales, los que tienen diferentes propósitos comunicativos y formas de organizar la información según género (cuento, anécdota, comic, artículo, etc.)",Aspectos discursivos: - organização das idéias de acordo com as características textuais de cada gênero (…) (4° grado).,Redação de textos considerando suas condições de produção: finalidade; especificidade do gênero; lugares preferenciais de circulação; interlocutor eleito (7° grado).,Sudamérica
br,Brasil,8.33,0.00,13.00,10.00,1.00,D,Escritura,Morfosintaxis,"Es lo que se entiende por gramática. Comprende la morfología, el estudio de clases de palabras (sustantivo, verbo, etc.) y su flexión. También considera la sintaxis: funciones que adquieren las palabras en una oración (sujeto, verbo, complementos).",Análise de regularidades da escrita: (…) - concordância verbal e nominal (e outros aspectos que se mostrem necessários a partir das dificuldades de redação) (…) (4° grado).,No hay ejemplos en el currículo de este país.,Sudamérica
br,Brasil,50.00,33.33,28.00,24.00,1.00,E,Escritura,Procesos involucrados en la escritura,"Procesos cognitivos involucrados en la producción escrita, como la planificación, textualización, revisión y reescritura de un texto, memoria de trabajo. Estos procesos suelen ser recursivos.","Produção de textos utilizando estratégias de escrita: planejar o texto, redigir rascunhos, revisar e cuidar da apresentação (4° grado).",Utilização de procedimentos diferenciados para a elaboração do texto: estabelecimento de tema; levantamento de idéias e dados; planejamento; rascunho; revisão (com intervenção do professor); versão final (7° grado).,Sudamérica
br,Brasil,33.33,26.67,31.00,19.00,1.00,A,Lectura,Comprensión lectora literal e inferencial,"Identificación de información explícita en el texto (comprensión literal) e inferencias realizadas para identificar información sugerida, no explícita, en el texto (comprensión inferencial).","Atribuição de sentido, coordenando texto e contexto (4° grado).","Estabelecimento de relações entre os diversos segmentos do próprio texto, entre o texto e outros textos diretamente implicados pelo primeiro, a partir de informações adicionais oferecidas pelo professor ou conseqüentes da história de leitura do sujeito (7° grado).",Sudamérica
