cod_pais,dato_pais_grado_3,dato_pais_grado_6,dato_region_grado_3,dato_region_grado_6,letra_magn,letra_ord,materia,nombre_categoria,descripcion_categoria,ej_3grado,ej_6grado
ar,43,22,34,39,1,C,Lectura,Lectura Diversidad Textual,"Lectura de diversos tipos y géneros textuales.  Estos tipos textuales y géneros tienen diferentes propósitos comunicativos y formas de organizar la información (cuento, anécdota, comic, artículo, opinión, etc.).","La lectura asidua de textos leídos por ellos (en silencio o en voz alta) o por el docente y otros adultos en voz alta (de manera habitual y sistemática): cuentos, fábulas, leyendas y otros textos narrativos literarios; poesías, coplas, adivinanzas, y otros géneros poéticos; y de textos no literarios como descubrimientos, historias de vida, descripciones de objetos, animales, personas, lugares y procesos, notas de enciclopedia sobre diferentes contenidos que se están estudiando o sobre temas de interés para los niños, entre otros (3° grado).","La lectura (comprensión y disfrute) de obras literarias de tradición oral (relatos, cuentos, mitos, fábulas, leyendas, parábolas, romances, coplas, entre otras) y de obras literarias de autor (novelas, cuentos, relatos, poesías, canciones, obras de teatro, entre otras) para (…) realizar interpretaciones personales teniendo en cuenta los indicios que da el texto y las características del género al que pertenece (…) (6° grado)."
ar,43,22,27,23,1,A,Lectura,Comprensión lectora literal e inferencial,"Identificación de  información explícita en el texto (comprensión literal) e inferencias realizadas para identificar información sugerida, no explícita, en el texto (comprensión inferencial).",La comprensión de textos explicativos leídos en colaboración con el docente (3° grado).,"(…) relacionar los datos del texto con sus conocimientos; realizar inferencias; detectar la información relevante; establecer relaciones entre el texto, las ilustraciones y/o los esquemas que puedan acompañarlo; inferir el significado de las palabras desconocidas (…) (6° grado)."
ar,0,11,20,19,1,D,Lectura,Estrategias de lectura,"Estrategias que usa el lector para comprender un texto (de relectura, de monitoreo de la comprensión, de anticipación, o hipótesis acerca del contenido de un texto, etc.).",No hay ejemplos en el currículo de este país.,"(…) poner en juego, con la colaboración del docente, estrategias de lectura adecuadas a la clase de texto y al propósito de la lectura (…); reconocer procedimientos propios del texto leído y emplear diversas estrategias para recuperar posteriormente la información relevante de manera resumida según el propósito (…). Monitorear los propios procesos de comprensión, recuperando lo que se entiende e identificando y buscando mejorar la comprensión de lo que no se ha entendido, a través de preguntas al docente y la relectura (6° grado)."
ar,14,11,11,4,1,B,Lectura,Decodificación,"Proceso de asociación entre fonemas (sonidos) y grafemas (letras) que permite la lectura de palabras.  Abarca conciencia fonológica, precisión, fluidez y prosodia.","El uso de signos de puntuación para la lectura y la escritura de textos: punto (y uso de mayúsculas después del punto), coma en enumeración y signos de interrogación y exclamación (3° grado).",(…) Leer con fluidez frente a un auditorio en situaciones que le den sentido a esta práctica (6° año).
ar,0,33,8,14,1,E,Lectura,Reflexión y evaluación,"Reflexión, valoración y crítica del texto por parte del lector. Esto permite identificar el propósito comunicativo y puntos de vista del texto, evaluar la funcionalidad de sus elementos formular juicios sobre él a nivel de contenido y forma.",No hay ejemplos en el currículo de este país.,"(…) realizar interpretaciones personales teniendo en cuenta los indicios que da el texto y las características del género al que pertenece, como también expresar las emociones y sentimientos que genera la obra y compartir significados con otros lectores (sus pares, el docente, otros adultos); formarse como lector de literatura (6° grado)."
ar,,0,,17,1,A,Ciencias,"Ciencia, tecnología y sociedad","Refiere a la ciencia y la tecnología como construcciones humanas influenciadas por el contexto sociocultural, político y económico. Incluye temas relativos al impacto de la ciencia y la tecnología en la salud y en el medio ambiente.",No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.
ar,,13,,23,1,B,Ciencias,Cuerpo humano y salud,"Conocimiento parcial del cuerpo humano, y comprensión de aspectos vinculados a su desarrollo, crecimiento y equilibrio; estructuras y funciones de los sistemas de órganos; conocimiento sobre la importancia de la salud para el bienestar general.",No hay ejemplos en el currículo de este país.,El reconocimiento de la importancia de la prevención de enfermedades relacionadas con los sistemas de órganos. (6° grado)
ar,,20,,12,1,C,Ciencias,Ecología y medioambiente,"Nociones y conceptos relativos a la biodiversidad, ecosistema y equilibrio ecológico en relación con los recursos naturales y su importancia para la vida en el planeta, además de la noción de cadena trófica, su dinámica general y relevancia.",No hay ejemplos en el currículo de este país.,"Modelos de nutrición en un ecosistema, relaciones que se establecen entre los organismos representativos de cada modelo. Relaciones tróficas y su representación gráfica mediante redes y cadenas."
ar,,27,,11,1,D,Ciencias,La energía y sus manifestaciones,Conocimientos de la noción de energía. Incluye el calor como una transferencia de energía; manifestaciones de energía en el planeta; y la noción de fuerza.,No hay ejemplos en el currículo de este país.,El reconocimiento del calor como una forma de transferencia de energía. (6° grado)
ar,,13,,7,1,E,Ciencias,La materia y sus transformaciones,"Conocimientos de la estructura atómica y molecular y algunos estados de agregación. <br>Clasificación de los materiales en sustancias puras o mezclas, y descripción de algunos métodos de separación.",No hay ejemplos en el currículo de este país.,
ar,,7,,13,1,G,Ciencias,Seres vivos,"Conocimiento sobre el ciclo de vida en los seres vivos, así como la noción de célula, particularmente, de su estructura y función en los seres vivos.",No hay ejemplos en el currículo de este país.,El acercamiento a la noción de célula como unidad estructural y funcional desde la perspectiva de los niveles de organización de los seres vivos.
ar,,20,,17,1,F,Ciencias,La tierra y el universo,"Conocimiento de las capas de la Tierra, su composición y dinámica; movimientos “externos” del planeta; fenómenos naturales Incluye la noción de Sistema Solar; el conocimiento de los planetas y de la Luna.",No hay ejemplos en el currículo de este país.,Describir los cuerpos que integran el Sistema Solar; movimiento de traslación de los planetas en torno al Sol. (6° grado)
bo,3,3,9,9,1,A,Matemáticas,Estadística y probabilidad,"Lectura e interpretación de datos estadísticos a partir de su representación en tablas, gráficos, pictogramas y diagramas. <br>Habilidad de organizar datos recolectados en tablas, gráficos, pictogramas y diagramas.",Datos estadísticos representación pictográfica de números naturales hasta el 1. <br> (3° grado),"Tablas estadísticas: Lineales, circulares y de barra. <br> (6° grado)"
bo,25,48,21,23,1,B,Matemáticas,Geometría,"Conocimiento de las figuras y cuerpos geométricos, su caracterización, clasificación y construcción. <br>Capacidad de establecer relaciones entre ellos y el entorno.","Construir y copiar modelos hechos con formas bi y tridimensionales, con diferentes formas y materiales (Ej.: tipos de papel e instrumentos). <br> (3° grado)","Descripción y explicación de los cuerpos geométricos, medidas, ángulos, uso de números naturales y las potencias, raíces y propiedades en las aplicaciones tecnológicas. <br> (6° grado)"
bo,19,10,22,18,1,C,Matemáticas,Magnitudes y medidas,"Conocimiento de distintas magnitudes, y de sus distintas unidades de medidas.  <br>Capacidad de realizar conversiones y de utilizarlas de acuerdo al contexto. <br>Conocimiento y uso adecuado de distintos instrumentos de medición.","Relación de equivalencias en fracciones de medidas de peso, longitud y capacidad. <br> (3° grado)",Unidad de medidas de volumen. <br> (6° grado)
bo,53,39,43,47,1,D,Matemáticas,Número y operaciones,"Conocimiento de los conjuntos de los números naturales y de los números racionales positivos. <br>Cálculo de las operaciones de adición, sustracción, multiplicación y división en esos conjuntos; aplicación de sus propiedades y relaciones.",Aplicar la multiplicación en la resolución de problemas en actividades comerciales. <br> (3° grado).,Potencias y sus propiedades en diversas aplicaciones tecnológicas. <br> (6° grado).
bo,0,0,5,4,1,E,Matemáticas,Patrones y álgebra,"Capacidad de identificar, completar y construir regularidades numéricas y gráficas a partir de objetos del entorno, figuras geométricas y secuencias numéricas. <br>Conocimiento para plantear y resolver ecuaciones simples de una variable.",No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.
bo,15,21,29,29,1,B,Escritura,Conocimiento sobre el código,"Conocimiento del sistema alfabético, de grafemas (letras) y fonemas (sonidos). También considera aspectos caligráficos y ortográficos, y relaciones de significado, (sinónimos y antónimos).","Libreto sobre temática ambiental para títeres elaborado de manera colectiva (…). Construcción colectiva de libreto sobre temas de manejo equilibrado de los recursos de la naturaleza de la provincia identificando hiatos y diptongos, para la presentación de títeres o marionetas (3° grado).",Préstamos lingüísticos de la diversidad cultural en la expresión oral y escrita (6° grado).
bo,30,26,26,23,1,E,Escritura,Procesos involucrados en la escritura,"Procesos cognitivos involucrados en la producción escrita, como la planificación, textualización, revisión y reescritura de un texto, memoria de trabajo. Estos procesos suelen ser recursivos.","Libreto sobre temática ambiental para títeres elaborado de manera colectiva (…). Presentación de títeres y exposición de libretos sobre temas ambientales, transcritos e ilustrados en el programa Word –Paint (3° grado).","Características y técnicas de producción (…) <br> de textos informativos (oficios, actas, votos resolutivos y convocatorias) y poéticos relacionados con la Madre Tierra."
bo,45,42,21,23,1,C,Escritura,Escritura Diversidad Textual,"Escritura de diversos tipos textuales, los que tienen diferentes propósitos comunicativos y formas de organizar la información según género (cuento, anécdota, comic, artículo, etc.).","Acontecimientos socioculturales de la provincia: Prácticas orales y escritas (exposiciones, entrevistas, discursos y diálogos) (3° grado).","Texto expositivo sobre el calentamiento global: Escritura de un artículo con el uso de género, numero, modo y tiempo en la oración (6° grado)."
bo,10,11,15,15,1,D,Escritura,Morfosintaxis,"Es lo que se entiende por gramática.  Comprende la morfología, el estudio de clases de palabras (sustantivo, verbo, etc.) y su flexión. También considera la sintaxis: funciones que adquieren las palabras en una oración (sujeto, verbo, complementos).","Textos narrativos imaginarios y reales del municipio y provincia, identificando sustantivos y adjetivos (3° grado).","Texto expositivo sobre el calentamiento global: Escritura de un artículo con el uso de género, numero, modo y tiempo en la oración (6° grado)."
bo,0,0,9,9,1,A,Escritura,Coherencia y cohesión,"Características que permiten construir el sentido global del texto, tales como la presencia de una idea central sin ideas inconexas (coherencia) y uso de recursos lingüísticos para mantener las oraciones unidas (cohesión).",No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.
bo,75,86,34,39,1,C,Lectura,Lectura Diversidad Textual,"Lectura de diversos tipos y géneros textuales.  Estos tipos textuales y géneros tienen diferentes propósitos comunicativos y formas de organizar la información (cuento, anécdota, comic, artículo, opinión, etc.).","Textos comunicativos usados en las relaciones sociales y culturales: La carta, periódicos murales e instructivos (3° grado).","Características y técnicas de producción, lectura y exposición de textos informativos (oficios, actas, votos resolutivos y convocatorias) y poéticos relacionados con la Madre Tierra (6° grado)."
bo,8,10,27,23,1,A,Lectura,Comprensión lectora literal e inferencial,"Identificación de  información explícita en el texto (comprensión literal) e inferencias realizadas para identificar información sugerida, no explícita, en el texto (comprensión inferencial).",Conjuntos musicales e interpretación de canciones <br> relacionadas a las actividades socioculturales del <br> municipio y provincia (3° grado).,Mitos y leyendas del Abya Yala: Lectura e interpretación <br> con la identificación de oraciones simples (6° grado).
bo,0,0,20,19,1,D,Lectura,Estrategias de lectura,"Estrategias que usa el lector para comprender un texto (de relectura, de monitoreo de la comprensión, de anticipación, o hipótesis acerca del contenido de un texto, etc.).",No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.
bo,0,0,11,4,1,B,Lectura,Decodificación,"Proceso de asociación entre fonemas (sonidos) y grafemas (letras) que permite la lectura de palabras.  Abarca conciencia fonológica, precisión, fluidez y prosodia.",No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.
bo,17,5,8,14,1,E,Lectura,Reflexión y evaluación,"Reflexión, valoración y crítica del texto por parte del lector. Esto permite identificar el propósito comunicativo y puntos de vista del texto, evaluar la funcionalidad de sus elementos formular juicios sobre él a nivel de contenido y forma.",Función social de los medios de comunicación: <br> Veracidad e imparcialidad (3° grado).,Sucesos históricos y actuales: Intenciones comunicativas y características lingüísticas (6° grado).
bo,,9,,17,1,A,Ciencias,"Ciencia, tecnología y sociedad","Refiere a la ciencia y la tecnología como construcciones humanas influenciadas por el contexto sociocultural, político y económico. Incluye temas relativos al impacto de la ciencia y la tecnología en la salud y en el medio ambiente.",No hay ejemplos en el currículo de este país.,Alteraciones genéticas en la producción de plantas y animales: Alimentos transgénicos y sus consecuencias.
bo,,39,,23,1,B,Ciencias,Cuerpo humano y salud,"Conocimiento parcial del cuerpo humano, y comprensión de aspectos vinculados a su desarrollo, crecimiento y equilibrio; estructuras y funciones de los sistemas de órganos; conocimiento sobre la importancia de la salud para el bienestar general.",No hay ejemplos en el currículo de este país.,"Trastornos y desequilibrios alimenticios: Desnutrición, obesidad, bulimia, anorexia."
bo,,9,,12,1,C,Ciencias,Ecología y medioambiente,"Nociones y conceptos relativos a la biodiversidad, ecosistema y equilibrio ecológico en relación con los recursos naturales y su importancia para la vida en el planeta, además de la noción de cadena trófica, su dinámica general y relevancia.",No hay ejemplos en el currículo de este país.,Biodiversidad: recuperación y cuidado de especies en extinción.
bo,,0,,11,1,D,Ciencias,La energía y sus manifestaciones,Conocimientos de la noción de energía. Incluye el calor como una transferencia de energía; manifestaciones de energía en el planeta; y la noción de fuerza.,No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.
bo,,0,,7,1,E,Ciencias,La materia y sus transformaciones,"Conocimientos de la estructura atómica y molecular y algunos estados de agregación. <br>Clasificación de los materiales en sustancias puras o mezclas, y descripción de algunos métodos de separación.",No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.
bo,,9,,13,1,G,Ciencias,Seres vivos,"Conocimiento sobre el ciclo de vida en los seres vivos, así como la noción de célula, particularmente, de su estructura y función en los seres vivos.",No hay ejemplos en el currículo de este país.,"Microcosmos: célula como unidad de vida, estructura y sus funciones biológicas."
bo,,33,,17,1,F,Ciencias,La tierra y el universo,"Conocimiento de las capas de la Tierra, su composición y dinámica; movimientos “externos” del planeta; fenómenos naturales Incluye la noción de Sistema Solar; el conocimiento de los planetas y de la Luna.",No hay ejemplos en el currículo de este país.,"Líneas imaginarias del planeta Tierra: Posiciones astronómicas, meridiano, paralelas, latitudes, longitudes."
br,13,14,9,9,1,A,Matemáticas,Estadística y probabilidad,"Lectura e interpretación de datos estadísticos a partir de su representación en tablas, gráficos, pictogramas y diagramas. <br>Habilidad de organizar datos recolectados en tablas, gráficos, pictogramas y diagramas.","Leitura e interpretação de dados apresentados de maneira organizada (por meio de listas, tabelas, diagramas e gráficos) e construção dessas representações.","Coleta, organização de dados e utilização de recursos visuais adequados (fluxogramas, tabelas e gráficos) para sintetizá-los, comunicá-los e permitir a elaboração de conclusões."
br,30,28,21,23,1,B,Matemáticas,Geometría,"Conocimiento de las figuras y cuerpos geométricos, su caracterización, clasificación y construcción. <br>Capacidad de establecer relaciones entre ellos y el entorno.","Reconhecimento de semelhanças e diferenças entre corpos redondos, como a esfera, o cone, o cilindro e outros.",Composição e decomposição de figuras planas.
br,19,12,22,18,1,C,Matemáticas,Magnitudes y medidas,"Conocimiento de distintas magnitudes, y de sus distintas unidades de medidas.  <br>Capacidad de realizar conversiones y de utilizarlas de acuerdo al contexto. <br>Conocimiento y uso adecuado de distintos instrumentos de medición.",Comparação de medidas de uma mesma grandeza.,"Reconhecimento de grandezas como comprimento, massa, capacidade, superfície, volume, ângulo, tempo, temperatura, velocidade e identificação de unidades adequadas <br> (padronizadas ou não) para medi-las, fazendo uso de terminologia própria."
br,39,41,43,47,1,D,Matemáticas,Número y operaciones,"Conocimiento de los conjuntos de los números naturales y de los números racionales positivos. <br>Cálculo de las operaciones de adición, sustracción, multiplicación y división en esos conjuntos; aplicación de sus propiedades y relaciones.","Compreensão e utilização das regras do sistema de numeração decimal, para leitura, escrita, comparação e ordenação de números naturais de qualquer ordem de grandeza. <br> (3° grado)","Regras e símbolos que o caracterizam e extensão das regras desse sistema para leitura, escrita e representação dos números racionais na forma decimal."
br,0,5,5,4,1,E,Matemáticas,Patrones y álgebra,"Capacidad de identificar, completar y construir regularidades numéricas y gráficas a partir de objetos del entorno, figuras geométricas y secuencias numéricas. <br>Conocimiento para plantear y resolver ecuaciones simples de una variable.",No hay ejemplos en el currículo de este país.,
br,8,33,29,29,1,B,Escritura,Conocimiento sobre el código,"Conocimiento del sistema alfabético, de grafemas (letras) y fonemas (sonidos). También considera aspectos caligráficos y ortográficos, y relaciones de significado, (sinónimos y antónimos).","Aspectos notacionais: <br> - divisão do texto em frases por meio de recursos do sistema de <br> pontuação: maiúscula inicial e ponto final (exclamação, interrogação <br> e reticências); e reunião das frases em parágrafos; <br> - separação, no texto, entre discurso direto e indireto e entre os turnos <br> do diálogo, utilizando travessão e dois pontos, ou aspas; <br> - indicação, por meio de vírgulas, das listas e enumerações no texto; <br> - estabelecimento das regularidades ortográficas (inferência das regras, <br> inclusive as da acentuação) e constatação de irregularidades (ausencia de regras); <br> - acentuação das palavras: regras gerais relacionadas à tonicidade (4° grado).","Utilização de marcas de segmentação em função do projeto textual: título e subtítulo; paragrafação; periodização; pontuação (ponto, vírgula, ponto-e-vírgula, dois-pontos, ponto-de-exclamação, ponto-de-interrogação, reticências); outros sinais gráficos (aspas, travessão, parênteses) (7° grado);"
br,50,33,26,23,1,E,Escritura,Procesos involucrados en la escritura,"Procesos cognitivos involucrados en la producción escrita, como la planificación, textualización, revisión y reescritura de un texto, memoria de trabajo. Estos procesos suelen ser recursivos.","Produção de textos utilizando estratégias de escrita: planejar o texto, redigir rascunhos, revisar e cuidar da apresentação (4° grado).",Utilização de procedimentos diferenciados para a elaboração do texto: estabelecimento de tema; levantamento de idéias e dados; planejamento; rascunho; revisão (com intervenção do professor); versão final (7° grado).
br,8,17,21,23,1,C,Escritura,Escritura Diversidad Textual,"Escritura de diversos tipos textuales, los que tienen diferentes propósitos comunicativos y formas de organizar la información según género (cuento, anécdota, comic, artículo, etc.).",Aspectos discursivos: <br> - organização das idéias de acordo com as características textuais de <br> cada gênero (…) (4° grado).,Redação de textos considerando suas condições de produção: finalidade; especificidade do gênero; lugares preferenciais de circulação; interlocutor eleito (7° grado).
br,8,0,15,15,1,D,Escritura,Morfosintaxis,"Es lo que se entiende por gramática.  Comprende la morfología, el estudio de clases de palabras (sustantivo, verbo, etc.) y su flexión. También considera la sintaxis: funciones que adquieren las palabras en una oración (sujeto, verbo, complementos).",Análise de regularidades da escrita: (…) <br> - concordância verbal e nominal (e outros aspectos que se mostrem <br> necessários a partir das dificuldades de redação) (…) (4° grado).,No hay ejemplos en el currículo de este país.
br,25,17,9,9,1,A,Escritura,Coherencia y cohesión,"Características que permiten construir el sentido global del texto, tales como la presencia de una idea central sin ideas inconexas (coherencia) y uso de recursos lingüísticos para mantener las oraciones unidas (cohesión).","Aspectos discursivos: (…) <br> - utilização de recursos coesivos oferecidos pelo sistema de pontuação e pela introdução de conectivos mais adequados à linguagem escrita, expressões que marcam temporalidade e causalidade, substituições <br> lexicais, manutenção do tempo verbal, etc. (…) (4° grado).","Utilização de mecanismos discursivos e lingüísticos de coerência e coesão textuais, conforme o gênero e os propósitos do texto, desenvolvendo diferentes critérios: de manutenção da continuidade do tema e ordenação de suas partes; de seleção apropriada do léxico em função do eixo temático; de manutenção do paralelismo sintático e/ou semântico; de suficiência (economia) e relevância dos tópicos e informações em relação ao tema e ao ponto de vista assumido; de avaliação da orientação e força dos argumentos; de propriedade dos recursos lingüísticos (repetição, retomadas, anáforas, conectivos) na expressão da relação entre constituintes do texto (7° grado)."
br,0,33,34,39,1,C,Lectura,Lectura Diversidad Textual,"Lectura de diversos tipos y géneros textuales.  Estos tipos textuales y géneros tienen diferentes propósitos comunicativos y formas de organizar la información (cuento, anécdota, comic, artículo, opinión, etc.).",No hay ejemplos en el currículo de este país.,"Articulação dos enunciados estabelecendo a progressão temática, em função das características das seqüências predominantes (narrativa, descritiva, expositiva, argumentativa e conversacional) e de suas especificidades no interior do gênero (7° grado)."
br,33,27,27,23,1,A,Lectura,Comprensión lectora literal e inferencial,"Identificación de  información explícita en el texto (comprensión literal) e inferencias realizadas para identificar información sugerida, no explícita, en el texto (comprensión inferencial).","Atribuição de sentido, coordenando texto e contexto (4° grado).","Estabelecimento de relações entre os diversos segmentos do próprio texto, entre o texto e outros textos diretamente implicados pelo primeiro, a partir de informações adicionais oferecidas pelo professor ou conseqüentes da história de leitura do sujeito (7° grado)."
br,50,13,20,19,1,D,Lectura,Estrategias de lectura,"Estrategias que usa el lector para comprender un texto (de relectura, de monitoreo de la comprensión, de anticipación, o hipótesis acerca del contenido de un texto, etc.).",Emprego dos dados obtidos por meio da leitura para confirmação ou retificação das suposições de sentido feitas anteriormente (4° grado).,"Emprego de estratégias não-lineares durante o processamento de leitura: formular hipóteses a respeito do conteúdo do texto, antes ou durante a leitura; validar ou reformular as hipóteses levantadas a partir das novas informações obtidas durante o processo da leitura; avançar ou retroceder durante a leitura em busca de informações esclarecedoras; construir sínteses parciais de partes do texto para poder prosseguir na leitura; inferir o sentido de palavras a partir do contexto; consultar outras fontes em busca de informações complementares (dicionários, enciclopédias, outro leitor) (7° grado)."
br,0,0,11,4,1,B,Lectura,Decodificación,"Proceso de asociación entre fonemas (sonidos) y grafemas (letras) que permite la lectura de palabras.  Abarca conciencia fonológica, precisión, fluidez y prosodia.",No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.
